iter	RMSE
0	0.7624711839
1	0.7606179489
2	0.7585232032
3	0.7565052745
4	0.7545243859
5	0.7527342775
6	0.7506917932
7	0.7489490696
8	0.7470565328
9	0.7453537575
10	0.7438165053
11	0.7421599935
12	0.7404914301
13	0.7387456036
14	0.737152043
15	0.735458375
16	0.7339884371
17	0.7324180563
18	0.7308260057
19	0.7292795539
20	0.7277593442
21	0.7263436002
22	0.724849072
23	0.72355891
24	0.7221966386
25	0.720901017
26	0.7196465651
27	0.7183985478
28	0.7170926324
29	0.7159578129
30	0.7148062052
31	0.7136817388
32	0.7124329402
33	0.7113683868
34	0.7100390442
35	0.7089042323
36	0.7077376226
37	0.7065576877
38	0.7055185569
39	0.7045518579
40	0.7035115282
41	0.702329522
42	0.701282997
43	0.7003599301
44	0.6992744384
45	0.698177478
46	0.6973175296
47	0.696413398
48	0.6953776404
49	0.6944630428
50	0.6935429018
51	0.6926034854
52	0.6916622318
53	0.6907350149
54	0.6898447407
55	0.6890571038
56	0.6883483208
57	0.6875615875
58	0.6868096515
59	0.6859752216
60	0.6852858754
61	0.6846152661
62	0.6837381573
63	0.6830264337
64	0.6821680885
65	0.6813333236
66	0.68065791
67	0.6798902618
68	0.6791888767
69	0.6784940565
70	0.6778185085
71	0.6770328429
72	0.6762955019
73	0.6757479231
74	0.6751373278
75	0.67443071
76	0.6737218641
77	0.6731539494
78	0.6725395624
79	0.6718221769
80	0.6711793941
81	0.6705147076
82	0.6699666738
83	0.6693013839
84	0.668730879
85	0.6681422173
86	0.6676396812
87	0.6672080085
88	0.6667034431
89	0.6660667173
90	0.6655296795
91	0.6649731208
92	0.6643283982
93	0.6638542796
94	0.6633443516
95	0.6627131855
96	0.6621785549
97	0.6616966142
98	0.6612207836
99	0.6606747555
100	0.6603087617
101	0.6598708041
102	0.6593071998
103	0.6588076491
104	0.6582723648
105	0.6577952534
106	0.6574524673
107	0.657090022
108	0.6565461536
109	0.6560441808
110	0.6555784175
111	0.655153429
112	0.654696913
113	0.6542221956
114	0.6537587449
115	0.6532226686
116	0.6528069214
117	0.652487182
118	0.6520507149
119	0.6516378764
120	0.6511247352
121	0.6507040236
122	0.6502900615
123	0.6498180959
124	0.6495169769
125	0.6490500234
126	0.6487503057
127	0.6483832196
128	0.6479973202
129	0.6476045226
130	0.6472660398
131	0.6468146671
132	0.6464526777
133	0.646006932
134	0.6455776294
135	0.6451075837
136	0.6447565376
137	0.6443568376
138	0.6440177065
139	0.6436532457
140	0.6434184056
141	0.6430529715
142	0.6426751952
143	0.6423826995
144	0.6420229434
145	0.6416797846
146	0.6413790946
147	0.6411143118
148	0.6407611775
149	0.6404911864
150	0.6402257212
151	0.6399778549
152	0.6397038106
153	0.6392872509
154	0.6390130439
155	0.6387446445
156	0.6384476529
157	0.6381416618
158	0.6378388476
159	0.637500079
160	0.6371886708
161	0.6368544653
162	0.6365582545
163	0.6363604438
164	0.6360930782
165	0.6358618756
166	0.6355070479
167	0.6351964043
168	0.6348802867
169	0.6345923528
170	0.6343604211
171	0.6341127486
172	0.6338459859
173	0.6335222225
174	0.6332768723
175	0.6330089859
176	0.632736904
177	0.6325401758
178	0.6322745242
179	0.6320315302
180	0.6318131197
181	0.6315968021
182	0.6312731729
183	0.6310791177
184	0.6308297581
185	0.6305656981
186	0.6303410359
187	0.6300895476
188	0.6298312316
189	0.6296514712
190	0.629488725
191	0.6292710444
192	0.6290990399
193	0.6288037662
194	0.6285939459
195	0.6283180943
196	0.6279624276
197	0.6277579205
198	0.6274536081
199	0.62719484
200	0.626999687
201	0.6267713261
202	0.6265554701
203	0.6263321574
204	0.6261028026
205	0.625816725
206	0.6255810118
207	0.6253296794
208	0.6251495722
209	0.6249766861
210	0.6247340214
211	0.6245359224
212	0.624284501
213	0.6240588482
214	0.6238096129
215	0.6236592793
216	0.6234623298
217	0.6232443733
218	0.6230281521
219	0.6227692005
220	0.6225527494
221	0.6223105699
222	0.6220771317
223	0.6218820411
224	0.6216471951
225	0.6214336898
226	0.6212099133
227	0.6209827491
228	0.6207724929
229	0.6206186683
230	0.620390859
231	0.6201795605
232	0.6199695058
233	0.6196860338
234	0.6194959163
235	0.6192355418
236	0.6190019799
237	0.6188307792
238	0.6186015359
239	0.6183660462
240	0.618260436
241	0.6180182414
242	0.6178205167
243	0.6176236296
244	0.6173328864
245	0.6171155019
246	0.6169202487
247	0.6167635997
248	0.6165773422
249	0.6163234204
250	0.6161526794
251	0.6159923811
252	0.6158884956
253	0.6157655865
254	0.6155981217
255	0.6154204347
256	0.6152467089
257	0.6150356464
258	0.6148047944
259	0.6146288539
260	0.6144035034
261	0.6142557126
262	0.6140400724
263	0.6139025659
264	0.6136767872
265	0.6134998196
266	0.6133306292
267	0.6131663002
268	0.6129183021
269	0.6127359117
270	0.6125815114
271	0.6123830304
272	0.6121578253
273	0.6119596552
274	0.6118065942
275	0.6116423739
276	0.6113756777
277	0.6111548152
278	0.6110025958
279	0.6108485065
280	0.6106966188
281	0.6104762476
282	0.6102666364
283	0.6100804513
284	0.6099478468
285	0.6097650123
286	0.6096256673
287	0.6095286211
288	0.6093517833
289	0.6091807119
